Date,Close/Last,Volume,Open,High,Low
02/23/2023,23980.00,N/A,24518.10,24123.40,23893.80
02/22/2023,24455.80,N/A,24153.40,24590.40,24127.60
02/21/2023,24137.20,N/A,24902.10,24474.30,23894.70
02/20/2023,24877.80,N/A,24478.30,25081.20,24785.10
02/19/2023,24461.50,N/A,24714.40,24534.80,23868.60
02/18/2023,24690.90,N/A,24628.50,24765.30,24623.60
02/17/2023,24635.80,N/A,23806.80,24772.40,24531.40
02/16/2023,23765.60,N/A,24643.90,23883.30,23373.00
02/15/2023,22112.00,N/A,21696.70,22198.50,22050.80
02/14/2023,22111.10,N/A,21706.70,22198.50,22050.80
02/13/2023,21716.00,N/A,21834.90,21808.10,21681.30
02/12/2023,21831.90,N/A,21781.30,21856.70,21656.90
02/11/2023,21767.70,N/A,21688.00,21879.40,21764.50
02/10/2023,21682.70,N/A,21795.50,21714.60,21605.30
02/09/2023,21801.70,N/A,22566.20,21933.60,21722.60
02/08/2023,22574.30,N/A,23248.50,23003.60,22425.60
02/07/2023,23246.10,N/A,22881.90,23425.10,23233.00
02/06/2023,22872.60,N/A,22872.70,22922.00,22748.20
02/05/2023,23385.60,N/A,23343.10,23423.40,23253.90
02/04/2023,23360.10,N/A,23337.10,23370.00,23253.90
02/03/2023,23334.30,N/A,23513.80,23461.20,23317.50
02/02/2023,23525.80,N/A,23881.70,23581.90,23418.00
02/01/2023,23905.70,N/A,23136.10,24207.20,23694.40
01/31/2023,23128.50,N/A,22859.20,23171.70,23031.90
01/30/2023,22842.70,N/A,23715.60,22900.60,22724.90
01/29/2023,23338.20,N/A,22977.30,23533.50,22973.30
01/28/2023,23127.80,N/A,23093.10,23456.40,22973.30
01/27/2023,23096.90,N/A,22774.40,23182.30,23048.00
01/26/2023,22819.30,N/A,23124.40,23072.10,22602.90
01/25/2023,23174.50,N/A,22646.90,23259.50,23055.20
01/24/2023,22652.70,N/A,23073.60,22714.20,22366.30
01/23/2023,23087.10,N/A,22669.90,23139.20,22878.90
01/22/2023,22744.00,N/A,22756.90,22802.00,22663.80
01/21/2023,22840.40,N/A,22596.90,22959.70,22634.30
01/20/2023,22614.60,N/A,20992.60,22724.80,22461.10
01/19/2023,21053.00,N/A,20809.30,21181.00,21018.60
01/18/2023,20813.90,N/A,21273.20,20858.00,20669.70
01/17/2023,21286.30,N/A,21157.20,21371.20,21136.40
01/16/2023,21157.30,N/A,21151.80,21289.60,20926.20
01/15/2023,21147.60,N/A,20698.80,21414.70,20802.10
01/14/2023,20686.50,N/A,20894.00,20996.00,20590.40
01/13/2023,20913.70,N/A,18833.10,21185.60,19898.60
01/12/2023,18853.90,N/A,18217.30,18882.80,18723.80
01/11/2023,18220.20,N/A,17414.00,18298.80,17915.50
01/10/2023,17410.70,N/A,17218.00,17499.10,17371.10
01/09/2023,17216.10,N/A,17226.30,17232.60,17151.70
01/08/2023,17234.30,N/A,16935.20,17244.20,17107.10
01/07/2023,16936.10,N/A,16937.90,16953.70,16913.80
01/06/2023,16942.60,N/A,16822.10,16979.60,16932.30
01/05/2023,16818.30,N/A,16837.10,16871.20,16804.90
01/04/2023,16836.80,N/A,16861.30,16875.10,16813.60
01/03/2023,16875.00,N/A,16684.90,16890.90,16656.50
01/02/2023,16685.20,N/A,16634.20,16704.70,16652.10
01/01/2023,16638.30,N/A,16517.60,16699.70,16551.00
12/31/2022,16520.30,N/A,16550.10,16557.20,16510.80
12/30/2022,16544.80,N/A,16611.40,16613.60,16543.10
12/29/2022,16607.50,N/A,16568.50,16644.40,16585.00
12/28/2022,16571.10,N/A,16661.10,16584.80,16496.60
12/27/2022,16661.80,N/A,16891.70,16737.10,16585.70
12/26/2022,16884.80,N/A,16877.20,16964.00,16844.90
12/25/2022,16876.30,N/A,16826.10,16914.20,16822.00
12/24/2022,16819.60,N/A,16828.60,16850.80,16816.20
12/23/2022,16830.60,N/A,16839.00,16845.80,16777.80
12/22/2022,16830.00,N/A,16836.40,16889.00,16774.10
12/21/2022,16849.60,N/A,16794.40,16858.30,16811.20
12/20/2022,16810.90,N/A,16804.00,16919.40,16798.10
12/19/2022,16790.30,N/A,16711.70,16849.40,16400.70
12/18/2022,16728.70,N/A,16763.00,16809.50,16642.00
12/17/2022,16764.30,N/A,16706.30,16797.30,16709.10
12/16/2022,16715.50,N/A,17425.80,16723.20,16587.00
12/15/2022,17403.00,N/A,17726.90,17427.30,17351.80
12/14/2022,17693.60,N/A,17783.10,17846.10,17600.00
12/13/2022,17762.10,N/A,17151.30,17834.30,17753.20
12/12/2022,17163.60,N/A,16917.90,17234.40,17123.40
12/11/2022,16927.60,N/A,17153.90,17093.20,16878.50
12/10/2022,17170.70,N/A,17154.00,17174.40,17123.30
12/09/2022,17156.10,N/A,17201.50,17164.20,17121.30
12/08/2022,17193.20,N/A,16823.70,17288.60,17192.90
12/07/2022,16823.00,N/A,17040.10,16881.50,16789.00
12/06/2022,17020.40,N/A,16999.60,17126.70,17015.10
12/05/2022,17010.70,N/A,17374.90,17097.40,16966.30
12/04/2022,17255.00,N/A,17005.60,17306.30,17080.90
12/03/2022,17014.00,N/A,16934.50,17132.60,17010.80
12/02/2022,17013.20,N/A,16901.40,17132.60,17012.90
12/01/2022,16923.60,N/A,17147.50,17039.70,16867.60
11/30/2022,17140.90,N/A,16865.40,17222.60,17099.80
11/29/2022,16847.00,N/A,16283.40,17061.10,16433.20
11/28/2022,16462.90,N/A,16208.10,16471.20,16100.10
